feature,class,pdp_range,pdp_min,pdp_max
sulphates,high,0.18211087584495544,0.031188547611236572,0.21329942345619202
alcohol,high,0.18163195252418518,0.05853164196014404,0.24016359448432922
alcohol,medium,0.15380340814590454,0.7426450848579407,0.8964484930038452
sulphates,medium,0.15329909324645996,0.7592016458511353,0.9125007390975952
chlorides,medium,0.14521777629852295,0.7879014015197754,0.9331191778182983
chlorides,high,0.13112030550837517,0.04394759610295296,0.17506790161132812
residual sugar,high,0.12457539141178131,0.12937001883983612,0.25394541025161743
residual sugar,medium,0.12304580211639404,0.7099766731262207,0.8330224752426147
density_alcohol,high,0.10719318687915802,0.09677232801914215,0.20396551489830017
sulphur_ratio,high,0.10503671318292618,0.10403845459222794,0.2090751677751541
density_alcohol,medium,0.09990006685256958,0.7710469365119934,0.870947003364563
density,medium,0.09564423561096191,0.7848581075668335,0.8805023431777954
density,high,0.09322869777679443,0.08214004337787628,0.17536874115467072
free sulfur dioxide,medium,0.09259617328643799,0.7728575468063354,0.8654537200927734
sulphur_ratio,medium,0.08938330411911011,0.768995463848114,0.8583787679672241
total sulfur dioxide,medium,0.08233189582824707,0.7833617925643921,0.8656936883926392
citric acid,high,0.07743528485298157,0.08144193887710571,0.15887722373008728
free sulfur dioxide,high,0.07709319144487381,0.10256042331457138,0.1796536147594452
total sulfur dioxide,high,0.0715261772274971,0.10809030383825302,0.17961648106575012
citric acid,medium,0.05404925346374512,0.8185042142868042,0.8725534677505493
fixed acidity,medium,0.05311596393585205,0.789793848991394,0.8429098129272461
fixed acidity,low,0.04334907792508602,0.031143778935074806,0.07449285686016083
nonfree_sulfur,medium,0.04289531707763672,0.7858678102493286,0.8287631273269653
pH,high,0.04077928513288498,0.11824169009923935,0.15902097523212433
acid_ratio,low,0.040709489956498146,0.019351011142134666,0.06006050109863281
acid_ratio,medium,0.03505021333694458,0.8035146594047546,0.8385648727416992
nonfree_sulfur,low,0.03076615184545517,0.02295326068997383,0.053719412535429
pH,medium,0.030696094036102295,0.8054510354995728,0.836147129535675
citric_fixed_ratio,high,0.03038596361875534,0.12053845077753067,0.150924414396286
alc_sulphates,high,0.029884837567806244,0.12183056026697159,0.15171539783477783
sulphates,low,0.02949700504541397,0.02681371569633484,0.05631072074174881
alcohol,low,0.028877483680844307,0.01719132624566555,0.04606880992650986
citric_fixed_ratio,medium,0.02877974510192871,0.8096126317977905,0.8383923768997192
citric acid,low,0.028698943555355072,0.01730562373995781,0.04600456729531288
volatile acidity,high,0.028606295585632324,0.1210891455411911,0.14969544112682343
chlorides,low,0.027308566495776176,0.01983783207833767,0.047146398574113846
nonfree_sulfur,high,0.025855541229248047,0.14322279393672943,0.16907833516597748
alc_sulphates,medium,0.023493945598602295,0.8130460977554321,0.8365400433540344
volatile acidity,low,0.02341155894100666,0.02853778563439846,0.05194934457540512
fixed acidity,high,0.022525832056999207,0.12559247016906738,0.1481183022260666
pH,low,0.02216406539082527,0.024000711739063263,0.046164777129888535
free sulfur dioxide,low,0.021027935668826103,0.026460925117135048,0.04748886078596115
acid_ratio,high,0.018675535917282104,0.13412579894065857,0.15280133485794067
total sulfur dioxide,low,0.01763056591153145,0.024910733103752136,0.042541299015283585
volatile acidity,medium,0.01688528060913086,0.8190872073173523,0.8359724879264832
sulphur_ratio,low,0.015880871564149857,0.02192937210202217,0.03781024366617203
density,low,0.015092575922608376,0.028702979907393456,0.04379555583000183
density_alcohol,low,0.015020187944173813,0.02498752623796463,0.04000771418213844
alc_sulphates,low,0.013009052723646164,0.03270600363612175,0.045715056359767914
citric_fixed_ratio,low,0.00990791991353035,0.031161248683929443,0.04106916859745979
residual sugar,low,0.0075796134769916534,0.03357989341020584,0.041159506887197495
