feature,class,grid_value_scaled,pdp_mean_proba
fixed acidity,low,-1.5933200120925903,0.031143778935074806
fixed acidity,low,-1.356042742729187,0.03183770924806595
fixed acidity,low,-1.1187653541564941,0.034262172877788544
fixed acidity,low,-0.881488025188446,0.037840526551008224
fixed acidity,low,-0.644210696220398,0.03976459801197052
fixed acidity,low,-0.40693339705467224,0.03734578564763069
fixed acidity,low,-0.16965605318546295,0.03881104290485382
fixed acidity,low,0.06762126833200455,0.03917067125439644
fixed acidity,low,0.30489858984947205,0.040435947477817535
fixed acidity,low,0.5421759486198425,0.04518618434667587
fixed acidity,low,0.7794532179832458,0.046875618398189545
fixed acidity,low,1.016730546951294,0.049723200500011444
fixed acidity,low,1.2540079355239868,0.05239291861653328
fixed acidity,low,1.4912852048873901,0.05452433228492737
fixed acidity,low,1.728562593460083,0.05878632515668869
fixed acidity,low,1.9658398628234863,0.06262816488742828
fixed acidity,low,2.2031171321868896,0.06430864334106445
fixed acidity,low,2.440394639968872,0.06706021726131439
fixed acidity,low,2.6776719093322754,0.07034751027822495
fixed acidity,low,2.9149491786956787,0.07449285686016083
fixed acidity,medium,-1.5933200120925903,0.8429098129272461
fixed acidity,medium,-1.356042742729187,0.8423982858657837
fixed acidity,medium,-1.1187653541564941,0.8382161855697632
fixed acidity,medium,-0.881488025188446,0.8365670442581177
fixed acidity,medium,-0.644210696220398,0.8329988718032837
fixed acidity,medium,-0.40693339705467224,0.8335894346237183
fixed acidity,medium,-0.16965605318546295,0.8351627588272095
fixed acidity,medium,0.06762126833200455,0.8337518572807312
fixed acidity,medium,0.30489858984947205,0.8265985250473022
fixed acidity,medium,0.5421759486198425,0.8157450556755066
fixed acidity,medium,0.7794532179832458,0.813714861869812
fixed acidity,medium,1.016730546951294,0.8060148358345032
fixed acidity,medium,1.2540079355239868,0.8004640340805054
fixed acidity,medium,1.4912852048873901,0.7992150187492371
fixed acidity,medium,1.728562593460083,0.7930954098701477
fixed acidity,medium,1.9658398628234863,0.789793848991394
fixed acidity,medium,2.2031171321868896,0.7955498099327087
fixed acidity,medium,2.440394639968872,0.7976694107055664
fixed acidity,medium,2.6776719093322754,0.7943059802055359
fixed acidity,medium,2.9149491786956787,0.7909291386604309
fixed acidity,high,-1.5933200120925903,0.12594637274742126
fixed acidity,high,-1.356042742729187,0.12576408684253693
fixed acidity,high,-1.1187653541564941,0.12752166390419006
fixed acidity,high,-0.881488025188446,0.12559247016906738
fixed acidity,high,-0.644210696220398,0.12723654508590698
fixed acidity,high,-0.40693339705467224,0.12906470894813538
fixed acidity,high,-0.16965605318546295,0.12602627277374268
fixed acidity,high,0.06762126833200455,0.12707743048667908
fixed acidity,high,0.30489858984947205,0.13296552002429962
fixed acidity,high,0.5421759486198425,0.13906879723072052
fixed acidity,high,0.7794532179832458,0.13940949738025665
fixed acidity,high,1.016730546951294,0.14426203072071075
fixed acidity,high,1.2540079355239868,0.14714305102825165
fixed acidity,high,1.4912852048873901,0.14626064896583557
fixed acidity,high,1.728562593460083,0.1481183022260666
fixed acidity,high,1.9658398628234863,0.14757798612117767
fixed acidity,high,2.2031171321868896,0.1401415318250656
fixed acidity,high,2.440394639968872,0.1352703720331192
fixed acidity,high,2.6776719093322754,0.13534650206565857
fixed acidity,high,2.9149491786956787,0.13457801938056946
volatile acidity,low,-1.931073546409607,0.029294658452272415
volatile acidity,low,-1.695622444152832,0.02853778563439846
volatile acidity,low,-1.4601713418960571,0.029085367918014526
volatile acidity,low,-1.2247202396392822,0.030606478452682495
volatile acidity,low,-0.9892690777778625,0.031858380883932114
volatile acidity,low,-0.7538179159164429,0.03286846727132797
volatile acidity,low,-0.518366813659668,0.03272094950079918
volatile acidity,low,-0.2829156816005707,0.03326500207185745
volatile acidity,low,-0.04746454209089279,0.03234153985977173
volatile acidity,low,0.1879865825176239,0.03309383988380432
volatile acidity,low,0.4234377145767212,0.03468649834394455
volatile acidity,low,0.6588888764381409,0.035546332597732544
volatile acidity,low,0.8943399786949158,0.03721504285931587
volatile acidity,low,1.1297911405563354,0.04106179624795914
volatile acidity,low,1.3652422428131104,0.04310239478945732
volatile acidity,low,1.6006933450698853,0.04646861553192139
volatile acidity,low,1.8361444473266602,0.048407215625047684
volatile acidity,low,2.0715956687927246,0.0499284490942955
volatile acidity,low,2.30704665184021,0.04911934584379196
volatile acidity,low,2.5424978733062744,0.05194934457540512
volatile acidity,medium,-1.931073546409607,0.8259504437446594
volatile acidity,medium,-1.695622444152832,0.8264198303222656
volatile acidity,medium,-1.4601713418960571,0.821219265460968
volatile acidity,medium,-1.2247202396392822,0.8205277323722839
volatile acidity,medium,-0.9892690777778625,0.8190872073173523
volatile acidity,medium,-0.7538179159164429,0.821963906288147
volatile acidity,medium,-0.518366813659668,0.8254495859146118
volatile acidity,medium,-0.2829156816005707,0.8247101902961731
volatile acidity,medium,-0.04746454209089279,0.8290281295776367
volatile acidity,medium,0.1879865825176239,0.8315966725349426
volatile acidity,medium,0.4234377145767212,0.8328679800033569
volatile acidity,medium,0.6588888764381409,0.8359724879264832
volatile acidity,medium,0.8943399786949158,0.8356006741523743
volatile acidity,medium,1.1297911405563354,0.8332813382148743
volatile acidity,medium,1.3652422428131104,0.8278361558914185
volatile acidity,medium,1.6006933450698853,0.8267612457275391
volatile acidity,medium,1.8361444473266602,0.8276012539863586
volatile acidity,medium,2.0715956687927246,0.8272072672843933
volatile acidity,medium,2.30704665184021,0.826215386390686
volatile acidity,medium,2.5424978733062744,0.8269615173339844
volatile acidity,high,-1.931073546409607,0.14475490152835846
volatile acidity,high,-1.695622444152832,0.14504238963127136
volatile acidity,high,-1.4601713418960571,0.14969544112682343
volatile acidity,high,-1.2247202396392822,0.14886577427387238
volatile acidity,high,-0.9892690777778625,0.1490544080734253
volatile acidity,high,-0.7538179159164429,0.14516761898994446
volatile acidity,high,-0.518366813659668,0.1418294608592987
volatile acidity,high,-0.2829156816005707,0.14202480018138885
volatile acidity,high,-0.04746454209089279,0.13863034546375275
volatile acidity,high,0.1879865825176239,0.13530954718589783
volatile acidity,high,0.4234377145767212,0.13244545459747314
volatile acidity,high,0.6588888764381409,0.1284811943769455
volatile acidity,high,0.8943399786949158,0.12718427181243896
volatile acidity,high,1.1297911405563354,0.1256568431854248
volatile acidity,high,1.3652422428131104,0.1290614902973175
volatile acidity,high,1.6006933450698853,0.12677007913589478
volatile acidity,high,1.8361444473266602,0.12399156391620636
volatile acidity,high,2.0715956687927246,0.12286428362131119
volatile acidity,high,2.30704665184021,0.12466531991958618
volatile acidity,high,2.5424978733062744,0.1210891455411911
citric acid,low,-1.3826689720153809,0.04600456729531288
citric acid,low,-1.195494532585144,0.0401819609105587
citric acid,low,-1.0083200931549072,0.03755310922861099
citric acid,low,-0.8211456537246704,0.03367503732442856
citric acid,low,-0.6339712142944336,0.03041071631014347
citric acid,low,-0.4467967450618744,0.026435643434524536
citric acid,low,-0.2596223056316376,0.022836295887827873
citric acid,low,-0.07244785875082016,0.021549569442868233
citric acid,low,0.11472658812999725,0.021631957963109016
citric acid,low,0.30190104246139526,0.020413223654031754
citric acid,low,0.4890754818916321,0.020474663004279137
citric acid,low,0.6762499213218689,0.02015579864382744
citric acid,low,0.8634243607521057,0.019243692979216576
citric acid,low,1.0505988597869873,0.01730562373995781
citric acid,low,1.2377732992172241,0.017841005697846413
citric acid,low,1.424947738647461,0.01937553845345974
citric acid,low,1.6121221780776978,0.019271988421678543
citric acid,low,1.7992966175079346,0.02017318271100521
citric acid,low,1.9864710569381714,0.02261851727962494
citric acid,low,2.173645496368408,0.023915037512779236
citric acid,medium,-1.3826689720153809,0.8725534677505493
citric acid,medium,-1.195494532585144,0.8725436925888062
citric acid,medium,-1.0083200931549072,0.869346022605896
citric acid,medium,-0.8211456537246704,0.8717769384384155
citric acid,medium,-0.6339712142944336,0.8655920028686523
citric acid,medium,-0.4467967450618744,0.8584003448486328
citric acid,medium,-0.2596223056316376,0.8527923822402954
citric acid,medium,-0.07244785875082016,0.8390410542488098
citric acid,medium,0.11472658812999725,0.8334377408027649
citric acid,medium,0.30190104246139526,0.8328664898872375
citric acid,medium,0.4890754818916321,0.8310009241104126
citric acid,medium,0.6762499213218689,0.8308092951774597
citric acid,medium,0.8634243607521057,0.8302270770072937
citric acid,medium,1.0505988597869873,0.8311939239501953
citric acid,medium,1.2377732992172241,0.8330432176589966
citric acid,medium,1.424947738647461,0.8324282765388489
citric acid,medium,1.6121221780776978,0.8326557278633118
citric acid,medium,1.7992966175079346,0.8261187672615051
citric acid,medium,1.9864710569381714,0.8185042142868042
citric acid,medium,2.173645496368408,0.819372296333313
citric acid,high,-1.3826689720153809,0.08144193887710571
citric acid,high,-1.195494532585144,0.08727433532476425
citric acid,high,-1.0083200931549072,0.09310084581375122
citric acid,high,-0.8211456537246704,0.09454797208309174
citric acid,high,-0.6339712142944336,0.10399734973907471
citric acid,high,-0.4467967450618744,0.11516396701335907
citric acid,high,-0.2596223056316376,0.12437133491039276
citric acid,high,-0.07244785875082016,0.13940931856632233
citric acid,high,0.11472658812999725,0.14493024349212646
citric acid,high,0.30190104246139526,0.1467202603816986
citric acid,high,0.4890754818916321,0.1485244631767273
citric acid,high,0.6762499213218689,0.14903491735458374
citric acid,high,0.8634243607521057,0.15052926540374756
