feature,mean_abs_shap,class
fixed acidity,0.009096464844013219,low
citric acid,0.007584645635532227,low
acid_ratio,0.007009170204574,low
sulphates,0.006399517241878217,low
nonfree_sulfur,0.006362236178485253,low
free sulfur dioxide,0.005701298230175759,low
total sulfur dioxide,0.004899372606615367,low
alcohol,0.004568265326401707,low
density_alcohol,0.0043984836761405645,low
volatile acidity,0.0041388161506255685,low
density,0.003850729311310184,low
pH,0.003273261598773095,low
citric_fixed_ratio,0.0032578157880497056,low
residual sugar,0.0026771113160263833,low
sulphur_ratio,0.002554682872312129,low
chlorides,0.0022971489285048205,low
alc_sulphates,0.0015805076094791576,low
sulphates,0.045069954275183996,medium
alcohol,0.04197483507521858,medium
sulphur_ratio,0.02354655380080087,medium
density_alcohol,0.022840090709035258,medium
fixed acidity,0.0219691217490138,medium
residual sugar,0.021595091744593113,medium
citric acid,0.021326412453332624,medium
free sulfur dioxide,0.01671636969491794,medium
total sulfur dioxide,0.015719716539088418,medium
density,0.015139696958915724,medium
chlorides,0.01031457899150119,medium
citric_fixed_ratio,0.008172142025562932,medium
volatile acidity,0.006513412193784191,medium
pH,0.006304527785252704,medium
nonfree_sulfur,0.0059470912909197005,medium
acid_ratio,0.005586902772783527,medium
alc_sulphates,0.005439018816817209,medium
sulphates,0.05138468483264303,high
alcohol,0.04453706531209102,high
sulphur_ratio,0.024302891980810388,high
density_alcohol,0.023135135149727593,high
citric acid,0.022032241201784177,high
residual sugar,0.021109036085309073,high
free sulfur dioxide,0.016317132945218686,high
fixed acidity,0.015666519061557433,high
density,0.012733864427135172,high
total sulfur dioxide,0.012482941648263527,high
chlorides,0.00994992782622407,high
pH,0.007362609959462809,high
citric_fixed_ratio,0.0065750769359351645,high
volatile acidity,0.005753134464030669,high
alc_sulphates,0.005572280796503449,high
acid_ratio,0.004846251790405615,high
nonfree_sulfur,0.0028168715604854717,high
